DRXFDCD,DRXFCLD
11000000.0,"Milk, human"
11100000.0,"Milk, NFS"
11111000.0,"Milk, whole"
11112110.0,"Milk, reduced fat (2%)"
11112210.0,"Milk, low fat (1%)"
11113000.0,"Milk, fat free (skim)"
11114300.0,"Milk, lactose free, low fat (1%)"
11114320.0,"Milk, lactose free, fat free (skim)"
11114330.0,"Milk, lactose free, reduced fat (2%)"
11114350.0,"Milk, lactose free, whole"
11115300.0,Buttermilk
11115400.0,Kefir
11116000.0,Goat milk
11120000.0,"Milk, dry, reconstituted, nonfat"
11121100.0,"Milk, dry, reconstituted, whole"
11210050.0,"Milk, evaporated, NS as to fat content"
11211050.0,"Milk, evaporated, whole"
11211400.0,"Milk, evaporated, reduced fat (2%)"
11212050.0,"Milk, evaporated, fat free (skim)"
11220000.0,"Milk, condensed, sweetened"
11300100.0,"Non-dairy milk, NFS"
11320000.0,"Soy milk, sweetened"
11320100.0,"Soy milk, unsweetened"
11321000.0,"Soy milk, chocolate"
11350000.0,"Almond milk, sweetened"
11350010.0,"Almond milk, chocolate"
11350020.0,"Almond milk, unsweetened"
11350040.0,"Almond milk, NFS"
11360000.0,Rice milk
11360200.0,Oat milk
11370000.0,Coconut milk
11400000.0,"Yogurt, NFS"
11400010.0,"Yogurt, Greek, NS as to type of milk or flavor"
11410000.0,"Yogurt, NS as to type of milk or flavor"
11411010.0,"Yogurt, NS as to type of milk, plain"
11411100.0,"Yogurt, whole milk, plain"
11411200.0,"Yogurt, low fat milk, plain"
11411300.0,"Yogurt, nonfat milk, plain"
11411390.0,"Yogurt, Greek, NS as to type of milk, plain"
11411400.0,"Yogurt, Greek, whole milk, plain"
11411410.0,"Yogurt, Greek, low fat milk, plain"
11411420.0,"Yogurt, Greek, nonfat milk, plain"
11430000.0,"Yogurt, NS as to type of milk, fruit"
11431000.0,"Yogurt, whole milk, fruit"
11432000.0,"Yogurt, low fat milk, fruit"
11433000.0,"Yogurt, nonfat milk, fruit"
11433990.0,"Yogurt, Greek, NS as to type of milk, fruit"
11434000.0,"Yogurt, Greek, whole milk, fruit"
11434010.0,"Yogurt, Greek, low fat milk, fruit"
11434020.0,"Yogurt, Greek, nonfat milk, fruit"
11434090.0,"Yogurt, NS as to type of milk, flavors other than fruit"
11434100.0,"Yogurt, whole milk, flavors other than fruit"
11434200.0,"Yogurt, low fat milk, flavors other than fruit"
11434300.0,"Yogurt, nonfat milk, flavors other than fruit"
11435000.0,"Yogurt, Greek, NS as to type of milk, flavors other than fruit"
11435010.0,"Yogurt, Greek, whole milk, flavors other than fruit"
11435020.0,"Yogurt, Greek, low fat milk, flavors other than fruit"
11435030.0,"Yogurt, Greek, nonfat milk, flavors other than fruit"
11435100.0,"Yogurt, Greek, with oats"
11436000.0,"Yogurt, liquid"
11436100.0,Yogurt tube
11440010.0,"Chipotle dip, yogurt based"
11440030.0,"Onion dip, yogurt based"
11440040.0,"Ranch dip, yogurt based"
11440050.0,"Spinach dip, yogurt based"
11440060.0,Tzatziki dip
11440070.0,"Vegetable dip, yogurt based"
11446000.0,"Yogurt parfait, with fruit"
11459990.0,"Frozen yogurt, NFS"
11460000.0,"Frozen yogurt, vanilla"
11460100.0,"Frozen yogurt, chocolate"
11460500.0,"Frozen yogurt, soft serve, vanilla"
11460510.0,"Frozen yogurt, soft serve, chocolate"
11461200.0,Frozen yogurt sandwich
11461210.0,"Frozen yogurt bar, vanilla"
11461220.0,"Frozen yogurt bar, chocolate"
11461250.0,"Frozen yogurt cone, chocolate"
11461260.0,"Frozen yogurt cone, vanilla"
11461300.0,"Frozen yogurt cone, vanilla, waffle cone"
11461320.0,"Frozen yogurt cone, chocolate, waffle cone"
11480000.0,"Baby Toddler food, NFS"
11480010.0,"Baby Toddler yogurt, plain"
11480100.0,"Baby Toddler yogurt, with fruit"
11511000.0,"Chocolate milk, NFS"
11511100.0,"Chocolate milk, whole"
11511200.0,"Chocolate milk, reduced fat (2%)"
11511300.0,"Chocolate milk, fat free (skim)"
11511400.0,"Chocolate milk, low fat (1%)"
11511550.0,"Chocolate milk, reduced sugar, NFS"
11512005.0,"Hot chocolate / cocoa, NFS"
11512010.0,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk"
11512020.0,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk"
11512030.0,"Hot chocolate / cocoa, made with non-dairy milk"
11512100.0,"Hot chocolate / cocoa, with whipped cream"
11513380.0,"Chocolate milk, Nesquik, NS as to type of milk"
11513385.0,"Chocolate milk, Nesquik, made with non-dairy milk"
11513801.0,"Chocolate milk, reduced sugar, whole"
11513802.0,"Chocolate milk, reduced sugar, reduced fat (2%)"
11513803.0,"Chocolate milk, reduced sugar, low fat (1%)"
11513804.0,"Chocolate milk, reduced sugar, fat free (skim)"
11514100.0,"Hot chocolate / cocoa, dry mix, made with water"
11514110.0,"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk"
11514130.0,"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk"
11514150.0,"Hot chocolate / cocoa, dry mix , made with non-dairy milk"
11514160.0,"Hot chocolate / cocoa, dry mix, made with water, with whipped cream"
11514310.0,"Hot chocolate / cocoa, dry mix, reduced sugar, made with water"
11514320.0,"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk"
11514325.0,"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk"
11514330.0,"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk"
11514340.0,"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk"
11514350.0,"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk"
11514360.0,"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk"
11519040.0,"Strawberry milk, NFS"
11519050.0,"Strawberry milk, whole"
11519105.0,"Strawberry milk, reduced fat (2%)"
11519200.0,"Strawberry milk, low fat (1%)"
11519205.0,"Strawberry milk, fat free  (skim)"
11519210.0,"Strawberry milk, reduced sugar"
11526000.0,"Milk, malted"
11531000.0,Eggnog
11541110.0,"Milk shake, home recipe, chocolate"
11541120.0,"Milk shake, home recipe, flavors other than chocolate"
11541130.0,"Milk shake, home recipe, chocolate, light"
11541135.0,"Milk shake, home recipe, flavors other than chocolate, light"
11541400.0,Milk shake with malt
11542100.0,"Milk shake, fast food, chocolate"
11542200.0,"Milk shake, fast food, flavors other than chocolate"
11543000.0,"Milk shake, bottled, chocolate"
11543010.0,"Milk shake, bottled, flavors other than chocolate"
11551050.0,Licuado or Batido
11553100.0,"Fruit smoothie, NFS"
11553110.0,"Fruit smoothie, with whole fruit and dairy"
11553120.0,"Fruit smoothie, with whole fruit and dairy, added protein"
11553130.0,"Fruit smoothie juice drink, with dairy"
11560000.0,Chocolate milk drink
11710000.0,"Infant formula, NFS"
11710030.0,"Infant formula, Similac, NFS"
11710051.0,"Infant formula, Similac Alimentum, ready-to-feed"
11710056.0,"Infant formula, Similac Alimentum, powder, made with water"
11710351.0,"Infant formula, Similac Advance, ready-to-feed"
11710357.0,"Infant formula, Similac Advance, powder, made with tap water"
11710358.0,"Infant formula, Similac Advance, powder, made with bottled water"
11710359.0,"Infant formula, Similac Advance, powder, made with baby water"
11710371.0,"Infant formula, Similac Sensitive, ready-to-feed"
11710377.0,"Infant formula, Similac Sensitive, powder, made with tap water"
11710378.0,"Infant formula, Similac Sensitive, powder, made with bottled water"
11710379.0,"Infant formula, Similac Sensitive, powder, made with baby water"
11710381.0,"Infant formula, Similac for Spit-Up, ready-to-feed"
11710383.0,"Infant formula, Similac for Spit-Up, powder, made with water"
11710481.0,"Toddler formula, Similac Go and Grow"
11710605.0,"Infant formula, Enfamil, NFS"
11710631.0,"Infant formula, Enfamil Infant, ready-to-feed"
11710637.0,"Infant formula, Enfamil Infant, powder, made with tap water"
11710638.0,"Infant formula, Enfamil Infant, powder, made with bottled water"
11710639.0,"Infant formula, Enfamil Infant, powder, made with baby water"
11710661.0,"Infant formula, Enfamil AR, ready-to-feed"
11710669.0,"Infant formula, Enfamil AR, powder, made with water"
11710671.0,"Infant formula, Enfamil Gentlease, ready-to-feed"
11710677.0,"Infant formula, Enfamil Gentlease, powder, made with tap water"
11710678.0,"Infant formula, Enfamil Gentlease, powder, made with bottled water"
11710679.0,"Infant formula, Enfamil Gentlease, powder, made with baby water"
11710689.0,"Toddler formula, Enfamil Enfagrow"
11710801.0,"Toddler formula, PediaSure"
